icd_code	label	definition	synonym	grouped_synonym
ICD10CM:Z95.4	Presence of other heart-valve replacement		Presence of other heart-valve replacement	Presence of other heart-valve replacement
ICD10CM:E66.8	Other obesity		Other obesity	Other obesity
ICD10CM:Z80.0	Family history of malignant neoplasm of digestive organs		Conditions classifiable to C15-C26	Conditions classifiable to C15-C26, Family history of malignant neoplasm of digestive organs
ICD10CM:L40.9	Psoriasis, unspecified		Psoriasis, unspecified	Psoriasis, unspecified
ICD10CM:M85.80	Other specified disorders of bone density and structure, unspecified site		Other specified disorders of bone density and structure, unspecified site	Other specified disorders of bone density and structure, unspecified site
ICD10CM:Z30.9	Encounter for contraceptive management, unspecified		Encounter for contraceptive management, unspecified	Encounter for contraceptive management, unspecified
ICD10CM:N13.9	Obstructive and reflux uropathy, unspecified		Obstructive and reflux uropathy, unspecified	Obstructive and reflux uropathy, unspecified, Urinary tract obstruction NOS
ICD10CM:Z85.6	Personal history of leukemia		Conditions classifiable to C91-C95	Conditions classifiable to C91-C95, Personal history of leukemia
ICD10CM:Z13.6	Encounter for screening for cardiovascular disorders		Encounter for screening for cardiovascular disorders	Encounter for screening for cardiovascular disorders
ICD10CM:E88.09	Other disorders of plasma-protein metabolism, not elsewhere classified		Bisalbuminemia	Bisalbuminemia, Other disorders of plasma-protein metabolism, not elsewhere classified
ICD10CM:Z23	Encounter for immunization		Encounter for immunization	Encounter for immunization
ICD10CM:Z74.09	Other reduced mobility		Chairridden	Chairridden, Other reduced mobility, Reduced mobility NOS
ICD10CM:Z86.16	Personal history of COVID-19		Personal history of COVID-19	Personal history of COVID-19
ICD10CM:I37.1	Nonrheumatic pulmonary valve insufficiency		Nonrheumatic pulmonary valve incompetence	Nonrheumatic pulmonary valve incompetence, Nonrheumatic pulmonary valve insufficiency, Nonrheumatic pulmonary valve regurgitation
ICD10CM:Z68.42	Body mass index [BMI] 45.0-49.9, adult		Body mass index [BMI] 45.0-49.9, adult	Body mass index [BMI] 45.0-49.9, adult
ICD10CM:H66.91	Otitis media, unspecified, right ear		Otitis media, unspecified, right ear	Otitis media, unspecified, right ear
ICD10CM:Z93.1	Gastrostomy status		Gastrostomy status	Gastrostomy status
ICD10CM:F33.41	Major depressive disorder, recurrent, in partial remission		Major depressive disorder, recurrent, in partial remission	Major depressive disorder, recurrent, in partial remission
ICD10CM:L67.9	Hair color and hair shaft abnormality, unspecified		Hair color and hair shaft abnormality, unspecified	Hair color and hair shaft abnormality, unspecified
ICD10CM:H91.90	Unspecified hearing loss, unspecified ear		Unspecified hearing loss, unspecified ear	Unspecified hearing loss, unspecified ear
ICD10CM:R05.9	Cough, unspecified		Cough, unspecified	Cough, unspecified
ICD10CM:F06.1	Catatonic disorder due to known physiological condition		Catatonia NOS	Catatonia NOS, Catatonia associated with another mental disorder, Catatonic disorder due to known physiological condition
ICD10CM:Q21.22				
ICD10CM:Z91.09	Other allergy status, other than to drugs and biological substances		Other allergy status, other than to drugs and biological substances	Other allergy status, other than to drugs and biological substances
ICD10CM:R68.89	Other general symptoms and signs		Other general symptoms and signs	Other general symptoms and signs
ICD10CM:Z12.11	Encounter for screening for malignant neoplasm of colon		Encounter for screening colonoscopy NOS	Encounter for screening colonoscopy NOS, Encounter for screening for malignant neoplasm of colon
ICD10CM:K52.9	Noninfective gastroenteritis and colitis, unspecified		Colitis NOS	Colitis NOS, Enteritis NOS, Gastroenteritis NOS, Ileitis NOS, Jejunitis NOS, Noninfective gastroenteritis and colitis, unspecified, Sigmoiditis NOS
ICD10CM:Z30.019	Encounter for initial prescription of contraceptives, unspecified		Encounter for initial prescription of contraceptives, unspecified	Encounter for initial prescription of contraceptives, unspecified
ICD10CM:Z87.81	Personal history of (healed) traumatic fracture		Personal history of (healed) traumatic fracture	Personal history of (healed) traumatic fracture
ICD10CM:G25.3	Myoclonus		Drug-induced myoclonus	Drug-induced myoclonus, Myoclonus, Palatal myoclonus
ICD10CM:R73.03	Prediabetes		Latent diabetes	Latent diabetes, Prediabetes
ICD10CM:G47.19	Other hypersomnia		Other hypersomnia	Other hypersomnia
ICD10CM:G89.29	Other chronic pain		Other chronic pain	Other chronic pain
ICD10CM:Z92.21	Personal history of antineoplastic chemotherapy		Personal history of antineoplastic chemotherapy	Personal history of antineoplastic chemotherapy
ICD10CM:N18.30	Chronic kidney disease, stage 3 unspecified		Chronic kidney disease, stage 3 unspecified	Chronic kidney disease, stage 3 unspecified
ICD10CM:R45.851	Suicidal ideations		Suicidal ideations	Suicidal ideations
ICD10CM:D64.9	Anemia, unspecified		Anemia, unspecified	Anemia, unspecified
ICD10CM:F32.4	Major depressive disorder, single episode, in partial remission		Major depressive disorder, single episode, in partial remission	Major depressive disorder, single episode, in partial remission
ICD10CM:L85.3	Xerosis cutis		Dry skin dermatitis	Dry skin dermatitis, Xerosis cutis
ICD10CM:I87.2	Venous insufficiency (chronic) (peripheral)		Stasis dermatitis	Stasis dermatitis, Venous insufficiency (chronic) (peripheral), venous insufficiency
ICD10CM:H01.029	Squamous blepharitis unspecified eye, unspecified eyelid		Squamous blepharitis unspecified eye, unspecified eyelid	Squamous blepharitis unspecified eye, unspecified eyelid
ICD10CM:L63.9	Alopecia areata, unspecified		Alopecia areata, unspecified	Alopecia areata, unspecified
ICD10CM:Q21.20				
ICD10CM:Q23.1	Congenital insufficiency of aortic valve		Bicuspid aortic valve	Bicuspid aortic valve, Congenital aortic insufficiency, Congenital insufficiency of aortic valve
ICD10CM:F72	Severe intellectual disabilities		IQ 20-25 to 35-40	IQ 20-25 to 35-40, Severe intellectual disabilities, Severe mental subnormality
ICD10CM:E78.1	Pure hyperglyceridemia		Elevated fasting triglycerides	Elevated fasting triglycerides, Endogenous hyperglyceridemia, Fredrickson's hyperlipoproteinemia, type IV, Hyperlipidemia, group B, Hyperprebetalipoproteinemia, Pure hyperglyceridemia, Very-low-density-lipoprotein-type [VLDL] hyperlipoproteinemia
ICD10CM:M50.30	Other cervical disc degeneration, unspecified cervical region		Other cervical disc degeneration, unspecified cervical region	Other cervical disc degeneration, unspecified cervical region
ICD10CM:E11.9	Type 2 diabetes mellitus without complications		Type 2 diabetes mellitus without complications	Type 2 diabetes mellitus without complications
ICD10CM:E11.36	Type 2 diabetes mellitus with diabetic cataract		Type 2 diabetes mellitus with diabetic cataract	Type 2 diabetes mellitus with diabetic cataract
ICD10CM:Z30.011	Encounter for initial prescription of contraceptive pills		Encounter for initial prescription of contraceptive pills	Encounter for initial prescription of contraceptive pills
ICD10CM:H66.12	Chronic tubotympanic suppurative otitis media, left ear		Chronic tubotympanic suppurative otitis media, left ear	Chronic tubotympanic suppurative otitis media, left ear
ICD10CM:E55.9	Vitamin D deficiency, unspecified		Avitaminosis D	Avitaminosis D, Vitamin D deficiency, unspecified
ICD10CM:R39.11	Hesitancy of micturition		Hesitancy of micturition	Hesitancy of micturition
ICD10CM:H90.3	Sensorineural hearing loss, bilateral		Sensorineural hearing loss, bilateral	Sensorineural hearing loss, bilateral
ICD10CM:N17.9	Acute kidney failure, unspecified		Acute kidney failure, unspecified	Acute kidney failure, unspecified, Acute kidney injury (nontraumatic), acute kidney injury
ICD10CM:Z79.01	Long term (current) use of anticoagulants		Long term (current) use of anticoagulants	Long term (current) use of anticoagulants
ICD10CM:Z93.59	Other cystostomy status		Other cystostomy status	Other cystostomy status
ICD10CM:K90.49	Malabsorption due to intolerance, not elsewhere classified		Malabsorption due to intolerance to carbohydrate	Malabsorption due to intolerance to carbohydrate, Malabsorption due to intolerance to fat, Malabsorption due to intolerance to protein, Malabsorption due to intolerance to starch, Malabsorption due to intolerance, not elsewhere classified
ICD10CM:R94.31	Abnormal electrocardiogram [ECG] [EKG]		Abnormal electrocardiogram [ECG] [EKG]	Abnormal electrocardiogram [ECG] [EKG], abnormal electrocardiogram
ICD10CM:I83.90	Asymptomatic varicose veins of unspecified lower extremity		Asymptomatic varicose veins of unspecified lower extremity	Asymptomatic varicose veins of unspecified lower extremity, Varicose veins NOS
ICD10CM:H52.203	Unspecified astigmatism, bilateral		Unspecified astigmatism, bilateral	Unspecified astigmatism, bilateral
ICD10CM:N13.722	Vesicoureteral-reflux with reflux nephropathy without hydroureter, bilateral		Vesicoureteral-reflux with reflux nephropathy without hydroureter, bilateral	Vesicoureteral-reflux with reflux nephropathy without hydroureter, bilateral
ICD10CM:H52.223	Regular astigmatism, bilateral		Regular astigmatism, bilateral	Regular astigmatism, bilateral
ICD10CM:I73.9	Peripheral vascular disease, unspecified		Intermittent claudication	Intermittent claudication, Peripheral angiopathy NOS, Peripheral vascular disease, unspecified, Spasm of artery
ICD10CM:S12.501D	Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing		Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing	Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing
ICD10CM:M85.9	Disorder of bone density and structure, unspecified		Disorder of bone density and structure, unspecified	Disorder of bone density and structure, unspecified
ICD10CM:H61.309	Acquired stenosis of external ear canal, unspecified, unspecified ear		Acquired stenosis of external ear canal, unspecified, unspecified ear	Acquired stenosis of external ear canal, unspecified, unspecified ear
ICD10CM:G20	Parkinson's disease		Hemiparkinsonism	Hemiparkinsonism, Idiopathic Parkinsonism or Parkinson's disease, Paralysis agitans, Parkinson's disease, Parkinsonism or Parkinson's disease NOS, Primary Parkinsonism or Parkinson's disease
ICD10CM:F22	Delusional disorders		Delusional disorders	Delusional disorders, Delusional dysmorphophobia, Involutional paranoid state, Paranoia, Paranoia querulans, Paranoid psychosis, Paranoid state, Paraphrenia (late), Sensitiver Beziehungswahn, paraphrenia
ICD10CM:L40.0	Psoriasis vulgaris		Nummular psoriasis	Nummular psoriasis, Plaque psoriasis, Psoriasis vulgaris
ICD10CM:K59.00	Constipation, unspecified		Constipation, unspecified	Constipation, unspecified
ICD10CM:R13.10	Dysphagia, unspecified		Difficulty in swallowing NOS	Difficulty in swallowing NOS, Dysphagia, unspecified
ICD10CM:N94.6	Dysmenorrhea, unspecified		Dysmenorrhea, unspecified	Dysmenorrhea, unspecified
ICD10CM:Z30.41	Encounter for surveillance of contraceptive pills		Encounter for repeat prescription for contraceptive pill	Encounter for repeat prescription for contraceptive pill, Encounter for surveillance of contraceptive pills
ICD10CM:L70.8	Other acne		Other acne	Other acne
ICD10CM:R00.2	Palpitations		Awareness of heart beat	Awareness of heart beat, Palpitations
ICD10CM:N17.0	Acute kidney failure with tubular necrosis		Acute kidney failure with tubular necrosis	Acute kidney failure with tubular necrosis, Acute tubular necrosis, Renal tubular necrosis, Tubular necrosis NOS
ICD10CM:Z98.1	Arthrodesis status		Arthrodesis status	Arthrodesis status
ICD10CM:Z99.2	Dependence on renal dialysis		Dependence on renal dialysis	Dependence on renal dialysis, Hemodialysis status, Peritoneal dialysis status, Presence of arteriovenous shunt for dialysis, Renal dialysis status NOS
ICD10CM:H65.20	Chronic serous otitis media, unspecified ear		Chronic serous otitis media, unspecified ear	Chronic serous otitis media, unspecified ear
ICD10CM:Z90.710	Acquired absence of both cervix and uterus		Acquired absence of both cervix and uterus	Acquired absence of both cervix and uterus, Acquired absence of uterus NOS, Status post total hysterectomy
ICD10CM:R74.01	Elevation of levels of liver transaminase levels		Elevation of levels of alanine transaminase (ALT)	Elevation of levels of alanine transaminase (ALT), Elevation of levels of aspartate transaminase (AST), Elevation of levels of liver transaminase levels, elevation of levels of alanine transaminase, elevation of levels of aspartate transaminase
ICD10CM:R07.9	Chest pain, unspecified		Chest pain, unspecified	Chest pain, unspecified
ICD10CM:S82.891A	Other fracture of right lower leg, initial encounter for closed fracture		Other fracture of right lower leg, initial encounter for closed fracture	Other fracture of right lower leg, initial encounter for closed fracture
ICD10CM:S92.324D	Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with routine healing		Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with routine healing	Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with routine healing
